ticket_id,created_at,customer_id,department,city,state,device_type,os,browser,network_type,historical_tickets,sla_hours,resolution_time_hours,title,description,image_path,image_width,image_height,category,priority,status,assigned_team,has_attachment,sentiment_score,num_words,num_images,latitude,longitude,target_category
1,2025-01-01T00:17:00,5012,Operações,Campinas,BA,Desktop,Windows,Safari,WiFi,1,4,28,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00001.jpg,800,480,Hardware,Alta,Fechado,N2,1,-0.559,6,2,-24.977208,-53.035662,Hardware
2,2025-01-01T00:34:00,6574,Financeiro,Campinas,RJ,Notebook,Windows,Chrome,5G,6,12,45,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00002.jpg,1024,480,RH,Crítica,Fechado,Aplicações,0,0.946,6,3,-32.941078,-50.197535,RH
3,2025-01-01T00:51:00,2139,TI,Campinas,MG,Desktop,Linux,Chrome,5G,17,24,47,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00003.jpg,800,768,Financeiro,Média,Em andamento,N2,1,0.404,6,0,-27.160472,-51.405727,Financeiro
4,2025-01-01T01:08:00,7216,Financeiro,Belo Horizonte,RJ,Mobile,Android,Chrome,Cabo,2,12,52,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00004.jpg,1024,480,Software,Crítica,Aberto,Infra,0,0.311,3,3,-24.156954,-46.735766,Software
5,2025-01-01T01:25:00,5040,Financeiro,Belo Horizonte,PR,Mobile,iOS,Edge,Cabo,8,48,64,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00005.jpg,640,480,Rede,Média,Aberto,N2,0,0.584,6,3,-27.299142,-49.290804,Rede
6,2025-01-01T01:42:00,1188,TI,Belo Horizonte,MG,Mobile,Android,Chrome,4G,27,8,59,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00006.jpg,640,768,Financeiro,Alta,Fechado,N2,0,0.741,4,2,-24.625804,-48.074137,Financeiro
7,2025-01-01T01:59:00,3646,TI,Belo Horizonte,MG,Notebook,Windows,Chrome,4G,19,8,8,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00007.jpg,800,480,Software,Alta,Aberto,Aplicações,0,0.956,3,1,-32.400533,-48.394704,Software
8,2025-01-01T02:16:00,4470,Operações,Santos,PR,Mobile,Android,Safari,5G,7,8,29,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00008.jpg,640,768,Rede,Crítica,Aberto,N2,0,-0.986,6,0,-31.304535,-44.136342,Rede
9,2025-01-01T02:33:00,5562,RH,Campinas,RS,Desktop,iOS,Firefox,5G,26,8,13,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00009.jpg,640,720,Hardware,Média,Em andamento,Aplicações,1,-0.066,6,0,-26.460326,-43.356764,Hardware
10,2025-01-01T02:50:00,6559,TI,Campinas,RJ,Desktop,iOS,Firefox,5G,11,12,60,Aplicação apresenta erro ao salvar dados,Aplicação apresenta erro ao salvar dados.,images/img_00010.jpg,800,480,Hardware,Crítica,Em andamento,N1,0,0.304,6,0,-23.237941,-43.928967,Hardware
11,2025-01-01T03:07:00,8956,RH,Campinas,PR,Desktop,Linux,Safari,WiFi,24,12,59,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00011.jpg,1024,720,Software,Crítica,Fechado,Aplicações,0,-0.62,3,1,-23.241068,-47.366115,Software
12,2025-01-01T03:24:00,1936,TI,Belo Horizonte,PR,Mobile,Linux,Chrome,WiFi,11,4,9,Não consigo acessar o sistema após atualização,Não consigo acessar o sistema após atualização.,images/img_00012.jpg,800,720,RH,Alta,Aberto,N2,0,0.239,7,3,-26.634633,-47.504253,RH
13,2025-01-01T03:41:00,6147,Operações,Santos,PR,Desktop,Android,Safari,4G,4,4,59,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00013.jpg,640,480,Rede,Média,Fechado,N2,1,-0.735,6,2,-24.198581,-44.395225,Rede
14,2025-01-01T03:58:00,8179,Financeiro,Belo Horizonte,BA,Mobile,Windows,Edge,WiFi,8,12,15,Sistema está lento durante o expediente,Sistema está lento durante o expediente.,images/img_00014.jpg,640,600,Rede,Média,Em andamento,Infra,0,0.435,6,1,-26.306281,-44.656163,Rede
15,2025-01-01T04:15:00,2512,RH,Santos,SP,Desktop,Android,Firefox,4G,10,24,71,Aplicativo móvel fecha sozinho,Aplicativo móvel fecha sozinho.,images/img_00015.jpg,1280,480,Rede,Baixa,Aberto,N1,0,0.091,4,2,-27.450646,-51.633872,Rede
16,2025-01-01T04:32:00,6974,TI,Santos,RJ,Mobile,Linux,Chrome,4G,35,24,20,Imagem anexada mostra tela de erro,Imagem anexada mostra tela de erro.,images/img_00016.jpg,800,600,Hardware,Alta,Aberto,Aplicações,0,-0.641,6,2,-25.271987,-49.02404,Hardware
17,2025-01-01T04:49:00,2771,RH,São Paulo,PR,Desktop,Linux,Safari,4G,19,8,29,Computador reinicia inesperadamente,Computador reinicia inesperadamente.,images/img_00017.jpg,640,600,Rede,Média,Em andamento,Infra,1,0.729,3,2,-29.972507,-48.056884,Rede
